2018-12-08 12:08:40,528 [myid:] - INFO  [main:QuorumPeerConfig@136] - Reading configuration from: /Users/chengzhenyu/Working/ZK/zookeeper2/bin/../conf/zoo.cfg
2018-12-08 12:08:40,822 [myid:2] - INFO  [QuorumPeer[myid=2]/0:0:0:0:0:0:0:0:2182:Environment@100] - Server environment:java.home=/Library/Java/JavaVirtualMachines/jdk-10.0.2.jdk/Contents/Home
2018-12-08 12:08:40,822 [myid:2] - INFO  [QuorumPeer[myid=2]/0:0:0:0:0:0:0:0:2182:Environment@100] - Server environment:java.class.path=/Users/chengzhenyu/Working/ZK/zookeeper2/bin/../build/classes:/Users/chengzhenyu/Working/ZK/zookeeper2/bin/../build/lib/*.jar:/Users/chengzhenyu/Working/ZK/zookeeper2/bin/../lib/slf4j-log4j12-1.7.25.jar:/Users/chengzhenyu/Working/ZK/zookeeper2/bin/../lib/slf4j-api-1.7.25.jar:/Users/chengzhenyu/Working/ZK/zookeeper2/bin/../lib/netty-3.10.6.Final.jar:/Users/chengzhenyu/Working/ZK/zookeeper2/bin/../lib/log4j-1.2.17.jar:/Users/chengzhenyu/Working/ZK/zookeeper2/bin/../lib/jline-0.9.94.jar:/Users/chengzhenyu/Working/ZK/zookeeper2/bin/../lib/audience-annotations-0.5.0.jar:/Users/chengzhenyu/Working/ZK/zookeeper2/bin/../zookeeper-3.4.13.jar:/Users/chengzhenyu/Working/ZK/zookeeper2/bin/../src/java/lib/*.jar:/Users/chengzhenyu/Working/ZK/zookeeper2/bin/../conf:
2018-12-08 12:08:40,822 [myid:2] - INFO  [QuorumPeer[myid=2]/0:0:0:0:0:0:0:0:2182:Environment@100] - Server environment:java.library.path=/Users/chengzhenyu/Library/Java/Extensions:/Library/Java/Extensions:/Network/Library/Java/Extensions:/System/Library/Java/Extensions:/usr/lib/java:.
2018-12-08 12:08:40,822 [myid:2] - INFO  [QuorumPeer[myid=2]/0:0:0:0:0:0:0:0:2182:Environment@100] - Server environment:java.io.tmpdir=/var/folders/5g/ylyj_tzs3jj3wczkgb3f4lvc0000gn/T/
2018-12-08 12:08:40,823 [myid:2] - INFO  [QuorumPeer[myid=2]/0:0:0:0:0:0:0:0:2182:Environment@100] - Server environment:java.compiler=<NA>
2018-12-08 12:08:40,823 [myid:2] - INFO  [QuorumPeer[myid=2]/0:0:0:0:0:0:0:0:2182:Environment@100] - Server environment:os.name=Mac OS X
2018-12-08 12:08:40,823 [myid:2] - INFO  [QuorumPeer[myid=2]/0:0:0:0:0:0:0:0:2182:Environment@100] - Server environment:os.arch=x86_64
2018-12-08 12:08:40,823 [myid:2] - INFO  [QuorumPeer[myid=2]/0:0:0:0:0:0:0:0:2182:Environment@100] - Server environment:os.version=10.14
2018-12-08 12:08:40,823 [myid:2] - INFO  [QuorumPeer[myid=2]/0:0:0:0:0:0:0:0:2182:Environment@100] - Server environment:user.name=chengzhenyu
2018-12-08 12:08:40,823 [myid:2] - INFO  [QuorumPeer[myid=2]/0:0:0:0:0:0:0:0:2182:Environment@100] - Server environment:user.home=/Users/chengzhenyu
2018-12-08 12:08:40,823 [myid:2] - INFO  [QuorumPeer[myid=2]/0:0:0:0:0:0:0:0:2182:Environment@100] - Server environment:user.dir=/Users/chengzhenyu/Working/ZK/zookeeper2
2018-12-08 12:08:40,824 [myid:2] - INFO  [QuorumPeer[myid=2]/0:0:0:0:0:0:0:0:2182:ZooKeeperServer@174] - Created server with tickTime 2000 minSessionTimeout 4000 maxSessionTimeout 40000 datadir /Users/chengzhenyu/Working/ZK/zookeeper2/logs/version-2 snapdir /Users/chengzhenyu/Working/ZK/zookeeper2/data/version-2
2018-12-08 12:08:40,826 [myid:2] - INFO  [QuorumPeer[myid=2]/0:0:0:0:0:0:0:0:2182:Leader@380] - LEADING - LEADER ELECTION TOOK - 223
2018-12-08 12:08:41,643 [myid:2] - INFO  [/127.0.0.1:3335:QuorumCnxManager$Listener@743] - Received connection request /127.0.0.1:65288
2018-12-08 12:08:41,644 [myid:2] - INFO  [WorkerReceiver[myid=2]:FastLeaderElection@595] - Notification: 1 (message format version), 3 (n.leader), 0x0 (n.zxid), 0x1 (n.round), LOOKING (n.state), 3 (n.sid), 0x0 (n.peerEpoch) LEADING (my state)
2018-12-08 12:08:41,664 [myid:2] - INFO  [LearnerHandler-/127.0.0.1:65289:LearnerHandler@346] - Follower sid: 3 : info : org.apache.zookeeper.server.quorum.QuorumPeer$QuorumServer@675062e5
2018-12-08 12:08:41,678 [myid:2] - INFO  [LearnerHandler-/127.0.0.1:65289:LearnerHandler@401] - Synchronizing with Follower sid: 3 maxCommittedLog=0x0 minCommittedLog=0x0 peerLastZxid=0x0
2018-12-08 12:08:41,679 [myid:2] - INFO  [LearnerHandler-/127.0.0.1:65289:LearnerHandler@410] - leader and follower are in sync, zxid=0x0
2018-12-08 12:08:41,685 [myid:2] - INFO  [LearnerHandler-/127.0.0.1:65289:LearnerHandler@475] - Sending DIFF
2018-12-08 12:08:41,698 [myid:2] - INFO  [LearnerHandler-/127.0.0.1:65289:LearnerHandler@535] - Received NEWLEADER-ACK message from 3
2018-12-08 12:08:41,699 [myid:2] - INFO  [QuorumPeer[myid=2]/0:0:0:0:0:0:0:0:2182:Leader@964] - Have quorum of supporters, sids: [ 2,3 ]; starting up and setting last processed zxid: 0x100000000
2018-12-08 12:08:41,834 [myid:2] - INFO  [LearnerHandler-/127.0.0.1:65292:LearnerHandler@346] - Follower sid: 1 : info : org.apache.zookeeper.server.quorum.QuorumPeer$QuorumServer@fd52c3b
2018-12-08 12:08:41,845 [myid:2] - INFO  [LearnerHandler-/127.0.0.1:65292:LearnerHandler@401] - Synchronizing with Follower sid: 1 maxCommittedLog=0x0 minCommittedLog=0x0 peerLastZxid=0x0
2018-12-08 12:08:41,845 [myid:2] - INFO  [LearnerHandler-/127.0.0.1:65292:LearnerHandler@475] - Sending SNAP
2018-12-08 12:08:41,846 [myid:2] - INFO  [LearnerHandler-/127.0.0.1:65292:LearnerHandler@499] - Sending snapshot last zxid of peer is 0x0  zxid of leader is 0x100000000sent zxid of db as 0x100000000
2018-12-08 12:08:41,860 [myid:2] - INFO  [LearnerHandler-/127.0.0.1:65292:LearnerHandler@535] - Received NEWLEADER-ACK message from 1
2018-12-08 12:08:52,575 [myid:2] - INFO  [SyncThread:2:FileTxnLog@213] - Creating new log file: log.100000001
2018-12-08 13:31:23,082 [myid:2] - INFO  [ProcessThread(sid:2 cport:-1)::PrepRequestProcessor@487] - Processed session termination for sessionid: 0x10016744e980003
2018-12-08 13:31:32,805 [myid:2] - INFO  [SessionTracker:ZooKeeperServer@355] - Expiring session 0x10016744e980001, timeout of 30000ms exceeded
2018-12-08 13:31:32,808 [myid:2] - INFO  [ProcessThread(sid:2 cport:-1)::PrepRequestProcessor@487] - Processed session termination for sessionid: 0x10016744e980001
2018-12-08 13:31:44,806 [myid:2] - INFO  [SessionTracker:ZooKeeperServer@355] - Expiring session 0x10016744e980002, timeout of 30000ms exceeded
2018-12-08 13:31:44,806 [myid:2] - INFO  [ProcessThread(sid:2 cport:-1)::PrepRequestProcessor@487] - Processed session termination for sessionid: 0x10016744e980002
2018-12-08 13:31:47,403 [myid:2] - INFO  [NIOServerCxn.Factory:0.0.0.0/0.0.0.0:2182:NIOServerCnxnFactory@215] - Accepted socket connection from /127.0.0.1:61345
2018-12-08 13:31:47,408 [myid:2] - INFO  [NIOServerCxn.Factory:0.0.0.0/0.0.0.0:2182:ZooKeeperServer@949] - Client attempting to establish new session at /127.0.0.1:61345
2018-12-08 13:31:47,428 [myid:2] - INFO  [CommitProcessor:2:ZooKeeperServer@694] - Established session 0x20016744e040000 with negotiated timeout 30000 for client /127.0.0.1:61345
2018-12-08 13:32:04,807 [myid:2] - INFO  [SessionTracker:ZooKeeperServer@355] - Expiring session 0x10016744e980000, timeout of 30000ms exceeded
2018-12-08 13:32:04,807 [myid:2] - INFO  [ProcessThread(sid:2 cport:-1)::PrepRequestProcessor@487] - Processed session termination for sessionid: 0x10016744e980000
2018-12-08 13:34:25,683 [myid:2] - WARN  [NIOServerCxn.Factory:0.0.0.0/0.0.0.0:2182:NIOServerCnxn@376] - Unable to read additional data from client sessionid 0x20016744e040000, likely client has closed socket
2018-12-08 13:34:25,685 [myid:2] - INFO  [NIOServerCxn.Factory:0.0.0.0/0.0.0.0:2182:NIOServerCnxn@1056] - Closed socket connection for client /127.0.0.1:61345 which had sessionid 0x20016744e040000
2018-12-08 13:34:48,811 [myid:2] - INFO  [SessionTracker:ZooKeeperServer@355] - Expiring session 0x20016744e040000, timeout of 30000ms exceeded
2018-12-08 13:34:48,811 [myid:2] - INFO  [ProcessThread(sid:2 cport:-1)::PrepRequestProcessor@487] - Processed session termination for sessionid: 0x20016744e040000
2018-12-08 13:35:50,858 [myid:2] - INFO  [ProcessThread(sid:2 cport:-1)::PrepRequestProcessor@653] - Got user-level KeeperException when processing sessionid:0x10016744e980005 type:create cxid:0x0 zxid:0x10000000e txntype:-1 reqpath:n/a Error Path:/example Error:KeeperErrorCode = NodeExists for /example
2018-12-08 13:36:39,714 [myid:2] - INFO  [ProcessThread(sid:2 cport:-1)::PrepRequestProcessor@653] - Got user-level KeeperException when processing sessionid:0x30016744df70000 type:create cxid:0x0 zxid:0x100000010 txntype:-1 reqpath:n/a Error Path:/example Error:KeeperErrorCode = NodeExists for /example
2018-12-08 13:36:42,813 [myid:2] - INFO  [SessionTracker:ZooKeeperServer@355] - Expiring session 0x10016744e980005, timeout of 30000ms exceeded
2018-12-08 13:36:42,814 [myid:2] - INFO  [ProcessThread(sid:2 cport:-1)::PrepRequestProcessor@487] - Processed session termination for sessionid: 0x10016744e980005
2018-12-08 13:37:01,542 [myid:2] - INFO  [NIOServerCxn.Factory:0.0.0.0/0.0.0.0:2182:NIOServerCnxnFactory@215] - Accepted socket connection from /127.0.0.1:62180
2018-12-08 13:37:01,543 [myid:2] - WARN  [NIOServerCxn.Factory:0.0.0.0/0.0.0.0:2182:ZooKeeperServer@903] - Connection request from old client /127.0.0.1:62180; will be dropped if server is in r-o mode
2018-12-08 13:37:01,544 [myid:2] - INFO  [NIOServerCxn.Factory:0.0.0.0/0.0.0.0:2182:ZooKeeperServer@949] - Client attempting to establish new session at /127.0.0.1:62180
2018-12-08 13:37:01,558 [myid:2] - INFO  [CommitProcessor:2:ZooKeeperServer@694] - Established session 0x20016744e040001 with negotiated timeout 30000 for client /127.0.0.1:62180
2018-12-08 13:37:01,592 [myid:2] - INFO  [ProcessThread(sid:2 cport:-1)::PrepRequestProcessor@487] - Processed session termination for sessionid: 0x20016744e040001
2018-12-08 13:37:01,604 [myid:2] - INFO  [NIOServerCxn.Factory:0.0.0.0/0.0.0.0:2182:NIOServerCnxn@1056] - Closed socket connection for client /127.0.0.1:62180 which had sessionid 0x20016744e040001
2018-12-08 13:37:20,814 [myid:2] - INFO  [SessionTracker:ZooKeeperServer@355] - Expiring session 0x30016744df70000, timeout of 30000ms exceeded
2018-12-08 13:37:20,815 [myid:2] - INFO  [ProcessThread(sid:2 cport:-1)::PrepRequestProcessor@487] - Processed session termination for sessionid: 0x30016744df70000
2018-12-08 13:37:49,343 [myid:2] - INFO  [ProcessThread(sid:2 cport:-1)::PrepRequestProcessor@487] - Processed session termination for sessionid: 0x10016744e980006
